Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,,
DHX16,77.22222222,71,0.91942446,-0.121197045,-0.036483946,,
BCL11A,4.329411765,4,0.923913043,-0.114171019,-0.034368902,,
TELO2,48.38888889,45,0.929965557,-0.104750809,-0.031533136,,
RBBP8,106.8888889,100,0.935550936,-0.096111891,-0.028932563,,
NOP58,179.5277778,168,0.935788334,-0.095745851,-0.028822373,,
DICER1,52.25,49,0.937799043,-0.092649286,-0.027890215,,
RAC1,303.7222222,285,0.938357417,-0.091790548,-0.027631709,,
MLLT6,62.75,59,0.940239044,-0.088900503,-0.026761719,,
UBR4,68.02777778,64,0.94079216,-0.088052056,-0.02650631,,
SIVA1,65.47222222,62,0.946966483,-0.07861473,-0.023665392,,
OR6T1,0.211111111,0.2,0.947368417,-0.078002517,-0.023481098,,
TAF2,60.75,58,0.95473251,-0.066831507,-0.020118289,,
JAM3,107.4722222,103,0.95838718,-0.061319483,-0.018459004,,
TNKS,35.41666667,34,0.96,-0.058893688,-0.017728767,,
UQCC2,46.86111111,45,0.960284529,-0.058466159,-0.017600068,,
CSTF1,40.55555556,39,0.961643836,-0.056425432,-0.016985748,,
PJA1,74.88888889,73,0.974777448,-0.036855219,-0.011094527,,
TEX15,8.2,8,0.975609756,-0.035623908,-0.010723865,,
NEDD4L,23.41666667,23,0.982206406,-0.025901862,-0.007797238,,
ABHD3,38.66666667,38,0.982758621,-0.02509098,-0.007553138,,
ENPP1,7.020689655,7,0.997053045,-0.004257833,-0.001281736,,
RNF141,23.05555556,23,0.997590361,-0.003480567,-0.001047756,,
SAMD15,5.008333333,5,0.998336106,-0.002402489,-0.000723222,,
SELP,0.1,0.1,0.99999999,-1.30E-08,-4.34294E-09,,
CSH1,0.1,0.1,0.99999999,-1.30E-08,-4.34294E-09,,
MCM3AP,56.97222222,57,1.000487567,0.000703241,0.000211696,,
BTBD7,25.83333333,26,1.006451613,0.009277815,0.0027929,,
DIP2B,46.69444444,47,1.006543724,0.009409845,0.002832645,,
TRRAP,54.61111111,55,1.007121058,0.01023711,0.003081677,,
ELP4,2.961111111,3,1.013133208,0.018823875,0.005666551,,
TAX1BP1,60.97222222,62,1.016856492,0.024116089,0.007259666,,
GRB2,119.0833333,122,1.024492652,0.034909639,0.010508848,,
VPS13B,19.27777778,20,1.037463977,0.053061245,0.015973026,,
TBRG4,67.38888889,70,1.038746908,0.054844185,0.016509744,,
MCUR1,45.08333333,47,1.042513863,0.06006657,0.018081839,,
SPIN2B,7.641666667,8,1.046892039,0.066112673,0.019901897,,
TIAM2,4.775,5,1.047120419,0.066427363,0.019996628,,
PPA2,38.08333333,40,1.050328228,0.070840242,0.021325037,,
CSNK2B,24.69444444,26,1.052868391,0.074325112,0.022374088,,
TTN,0.98125,1.033333333,1.053078555,0.074613061,0.022460769,,
ZNF280D,5.638888889,6,1.064039409,0.089551586,0.026957713,,
SETBP1,25.24705882,27,1.0694315,0.096844079,0.029152972,,
CEACAM6,9.325714286,10,1.072303921,0.100713866,0.030317894,,
MAPK12,19.5,21,1.076923077,0.106915205,0.032184683,,
ARHGAP35,78.22222222,85,1.086647727,0.11988432,0.036088776,,
CACNA1B,20.17142857,22.05,1.093130312,0.128465396,0.038671937,,
GRM3,0.64,0.7,1.093749998,0.129283016,0.038918065,,
UNC5D,1.825,2,1.09589041,0.132103537,0.039767127,,
IDH3B,139.4722222,155,1.111332404,0.152290398,0.045843978,,
PRIM2,21.58333333,24,1.111969112,0.153116715,0.046092724,,
CAMSAP1,70.83333333,79,1.115294118,0.157424219,0.047389412,,
TONSL,42.68571429,48,1.124497992,0.169281086,0.050958684,,
FSD2,0.131034483,0.15,1.144736833,0.195015973,0.058705657,,
DCAF15,55.83333333,64,1.146268657,0.196945217,0.059286417,,
HEATR5B,31.27777778,36,1.150976909,0.202858892,0.061066611,,
SUPT5H,101.3888889,119,1.17369863,0.231062017,0.069556598,,
GTF2H3,49.86111111,59,1.183286908,0.242799923,0.073090059,,
KIF21A,40.38888889,48,1.188445667,0.249075949,0.074979332,,
FOLH1,0.8375,1,1.194029849,0.255838904,0.077015184,,
PAK2,124.5277778,149,1.196520187,0.258844739,0.07792003,,
AVL9,32.55555556,39,1.197952218,0.260570367,0.078439496,,
FAM200B,27.4,33,1.204379562,0.268290132,0.080763377,,
ZNF536,8.15,10,1.226993865,0.295128037,0.088842391,,
PASK,31.75,39,1.228346457,0.296717533,0.089320877,,
CCKAR,2.408695652,3,1.245487364,0.316710386,0.095339326,,
RAB28,44.80555556,56,1.249845009,0.321749201,0.09685616,,
EXOC2,47.77777778,60,1.255813953,0.328622749,0.098925304,,
KAT8,41.16666667,52,1.263157895,0.337034988,0.101457641,,
UNKL,15,19,1.266666667,0.341036919,0.102662342,,
MAPK13,48.83333333,62,1.269624573,0.344401958,0.10367532,,
PCLO,18.77777778,24,1.278106509,0.354008067,0.106567047,,
SLCO5A1,15.62058824,20,1.280361514,0.356551218,0.107332611,,
NBPF1,12.38888889,16,1.291479821,0.369025103,0.111087625,,
ZNF208,0.773684211,1,1.292517005,0.370183263,0.111436266,,
ALCAM,113.45,147,1.295724989,0.373759547,0.112512835,,
PATL1,84.5,110,1.301775148,0.380480278,0.114535976,,
FGF12,14.48285714,19,1.311895837,0.391653178,0.117899354,,
GON4L,28.83333333,38,1.317919075,0.398261788,0.119888744,,
MAP3K10,22.63888889,30,1.325153374,0.406159349,0.122266147,,
CYFIP1,40.68055556,54,1.3274155,0.408620027,0.123006885,,
OR6F1,0.15,0.2,1.333333324,0.415037491,0.124938734,,
USP42,21.69444444,29,1.336747759,0.418727259,0.126049465,,
DNAH17,1.491666667,2,1.340782122,0.423074818,0.12735821,,
NRCAM,107.3944444,144,1.340851482,0.423149449,0.127380676,,
SDR42E1,9.6375,13,1.348897536,0.431780764,0.129978961,,
GATA6,2.961290323,4,1.350762527,0.433774062,0.130579004,,
BAZ1B,211.2777778,286,1.353668157,0.436874116,0.131512213,,
NDUFA4L2,13.20277778,18,1.363349463,0.447155412,0.134607192,,
ADCY2,4.379166667,6,1.370123691,0.454306143,0.136759776,,
ZAP70,0.364705882,0.5,1.370967738,0.455194623,0.137027235,,
HGF,18.6,25.5,1.370967742,0.455194627,0.137027236,,
UBA6,37.80555556,52,1.375459221,0.459913369,0.138447719,,
UFM1,64.63888889,89,1.376880103,0.461402938,0.138896124,,
ZDHHC16,35.55555556,49,1.378125,0.462706752,0.139288611,,
GTPBP1,48.41666667,67,1.383820998,0.468657339,0.141079916,,
TACR3,0.721052632,1,1.386861312,0.471823524,0.142033033,,
PTEN,17.57142857,24.5,1.394308943,0.479550262,0.144359013,,
GYS1,41.44444444,58,1.399463807,0.484874177,0.145961671,,
CILP2,2.854285714,4,1.401401401,0.486870245,0.146562547,,
