Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,
FAM13A,14.58333333,21,1.44,0.526068813,0.158362492
RAB40A,2.075,3,1.445783132,0.531851165,0.160103153
ACTN1,72.33333333,105,1.451612903,0.537656787,0.16185082
SFT2D1,26.83333333,39,1.453416149,0.539447842,0.162389981
RUFY1,27.47222222,40,1.456016178,0.542026387,0.1631662
POGLUT1,19.83333333,29,1.462184874,0.548125733,0.165002287
FANCL,93.47222222,137,1.465676077,0.551566296,0.166037999
SLC39A10,41.61111111,61,1.465954606,0.551840431,0.166120522
XPR1,62,91,1.467741935,0.553598331,0.166649703
ONECUT2,39.48857143,58,1.468779394,0.554617725,0.166956571
CLN3,0.544444444,0.8,1.469387752,0.555215156,0.167136416
WDHD1,55.75,82,1.470852018,0.556652106,0.167568981
GOLGA2,52.88888889,78,1.474789916,0.560509458,0.168730159
NADSYN1,9.472222222,14,1.478005865,0.563651995,0.169676157
TRA2A,121.6388889,180,1.479789906,0.565392364,0.170200061
MAPKAPK5,19.58333333,29,1.480851064,0.56642655,0.170511382
TMEM74,15.48,23,1.485788114,0.571228391,0.17195688
KLHL36,25.52777778,38,1.488574537,0.573931465,0.172770586
NEK2,105.9722222,158,1.49095675,0.576238409,0.173465045
INA,181.6638889,271,1.491765929,0.577021183,0.173700684
RAB3GAP2,38.19444444,57,1.492363636,0.577599113,0.173874658
MED13,54.25,81,1.493087558,0.578298771,0.174085276
ASB16,8.694444444,13,1.495207668,0.580345873,0.174701515
FBXO21,60.13888889,90,1.496535797,0.581626789,0.17508711
CCDC82,12.69444444,19,1.496717724,0.581802161,0.175139902
ZBTB33,58.11111111,87,1.497131931,0.582201362,0.175260073
ZSWIM2,0.666666667,1,1.499999998,0.5849625,0.176091258
TBC1D32,6.647222222,10,1.504387798,0.58917651,0.177359802
LRCH3,23.25,35,1.505376344,0.590124207,0.177645087
SHC2,38.48571429,58,1.50705271,0.591729878,0.178128442
TIAM1,34.50277778,52,1.50712503,0.591799108,0.178149283
ADIPOR2,91.08333333,138,1.515096066,0.599409273,0.18044017
PARP12,14.48857143,22,1.518438178,0.602588172,0.181397115
MORC3,27.61111111,42,1.521126761,0.605140384,0.182165407
DAPK2,1.314705882,2,1.521252795,0.605259915,0.182201389
MYRFL,1.308823529,2,1.528089886,0.61172941,0.184148901
TEX22,1.955555556,3,1.534090908,0.617383979,0.185851096
ZNF595,13.675,21,1.535648994,0.618848496,0.18629196
COQ3,42.83333333,66,1.540856031,0.623732072,0.187762063
SUCLG1,64.22222222,99,1.541522491,0.62435594,0.187949866
KDM6B,31.75,49,1.543307087,0.626025158,0.18845235
ATP2B1,51.16666667,79,1.543973941,0.626648404,0.188639966
ATRNL1,5.817647059,9,1.547017189,0.629489228,0.189495139
DNHD1,5.161111111,8,1.550053821,0.632318311,0.190346778
NLRP7,0.128571429,0.2,1.555555543,0.63742991,0.191885523
TTC17,35.27777778,55,1.559055118,0.640671934,0.192861469
CES2,24.97222222,39,1.561735261,0.643149916,0.193607416
ERCC6,5.75,9,1.565217391,0.646363046,0.194574665
UTP20,37,58.5,1.581081081,0.660911355,0.198954142
HACE1,18.33333333,29,1.581818182,0.661583783,0.199156563
PPIL4,66.47222222,106,1.594651066,0.673240775,0.202665667
RBPJ,65.19444444,104,1.595227951,0.673762594,0.20282275
RAPGEF4,13.77142857,22,1.597510373,0.6758253,0.203443687
CAMK4,14.90285714,24,1.610429448,0.687445459,0.206941703
NCOA5,103.0555556,166,1.610781671,0.687760962,0.207036679
YTHDF2,114.6666667,185,1.613372093,0.690079207,0.207734541
ITPK1,37.80555556,61,1.613519471,0.690210988,0.207774211
RETSAT,28.5,46,1.614035088,0.690671943,0.207912972
CACNA2D4,0.61875,1,1.616161614,0.692571473,0.208484787
JADE1,35.19444444,57,1.619573796,0.695614207,0.209400742
CUL4B,72.97222222,119,1.630757518,0.70554228,0.212389389
SPTBN4,9.808571429,16,1.631226332,0.705956971,0.212514224
ZNF398,21.41666667,35,1.634241245,0.708620969,0.213316167
MAP1S,31.63888889,52,1.643546971,0.716812689,0.21578212
XYLB,6.666666667,11,1.65,0.722466025,0.217483944
QSOX2,102.1944444,169,1.653710247,0.725706478,0.218459418
FAM149B1,13.27777778,22,1.656903766,0.728489813,0.219297285
TTC23,6.937142857,11.5,1.657742998,0.729220362,0.219517202
KEL,1.205555556,2,1.658986174,0.730301864,0.219842767
PRPSAP1,34.33333333,57,1.660194175,0.731351989,0.220158886
MOCOS,3.597222222,6,1.667953667,0.738079215,0.222183983
DOCK1,18.57428571,31,1.668974004,0.738961484,0.222449572
OR1L3,0.238461538,0.4,1.677419348,0.746243403,0.224641648
WWP1,24.36111111,41,1.683010262,0.751043974,0.226086764
APAF1,24.33333333,41,1.684931507,0.752689947,0.226582251
CES3,8.3,14,1.686746988,0.754243586,0.227049943
TSPAN8,17.78,30,1.687289089,0.754707177,0.227189498
ZC3H6,8.297222222,14,1.687311684,0.754726497,0.227195314
EIF3M,82.91666667,140,1.688442211,0.755692803,0.227486201
PAK3,12.41875,21,1.690991444,0.757869361,0.22814141
MTR,35.47222222,60,1.69146437,0.758272788,0.228262854
CHKB,2.361111111,4,1.694117646,0.760534066,0.228943566
ANKRD24,5.308333333,9,1.695447409,0.761666035,0.229284323
DISP2,8.234285714,14,1.700208189,0.765711414,0.230502103
ITSN1,16.36111111,28,1.711375212,0.7751561,0.233345237
SLC1A1,8.163888889,14,1.714869003,0.778098375,0.23423095
ZNF425,2.902777778,5,1.722488038,0.784493965,0.236156215
C5AR2,0.231818182,0.4,1.725490189,0.787006271,0.236912494
ZSCAN20,5.771428571,10,1.732673267,0.79299963,0.238716675
